"","imdb_id","num_of_shows","attendees_per_show","avg_nth_day","name","budget","genres","tmdb_popularity","release_date","revenue","runtime","languages","tmdb_rating","tmdb_votes","directors","writers","keywords","awards","metascore","imdb_rating","imdb_votes","tomato_critic_rating","tomato_user_rating","tomato_user_votes","tomato_critic_votes","tomato_fresh_reviews","tomato_rotten_reviews","tomato_user_meter","tomato_critic_meter","actors","award_wins","award_nominations"
"107","tt1985966",1,41.5,14,"CLOUDY WITH A CHANCE OF MEATBALLS 2",78000000,"Animation,Family,Comedy",0.802966,2013-09-26,248384621,95,"English",6.5,575,"Cody Cameron,Kris Pearn","","inventor,food,scientist","16 nominations.",59,6.5,"63,582",6.4,3.7,123465,118,83,35,66,70,"Bill Hader,Anna Faris,James Caan,Will Forte,Andy Samberg,Benjamin Bratt,Neil Patrick Harris,Terry Crews,Kristen Schaal,Cody Cameron,Melissa Sturm,Kris Pearn,Craig Kellman,Khamani Griffin,Bridget Hoffman",0,16
"108","tt2004420",3,53.1666666666667,9,"NEIGHBORS",18000000,"Comedy",2.648748,2014-05-08,268157400,96,"English",6.2,1527,"Nicholas Stoller","Andrew J. Cohen,Brendan O'Brien","baby,fraternity,fraternity house,neighbor neighbor relationship","6 wins & 11 nominations.",68,6.4,"211,236",6.3,3.5,130516,203,148,55,63,73,"Seth Rogen,Zac Efron,Rose Byrne,Dave Franco,Ike Barinholtz,Christopher Mintz-Plasse,Hannibal Buress,Lisa Kudrow,Carla Gallo,Halston Sage,Craig Roberts,Chasty Ballesteros,Cassandra Starr,Jason Mantzoukas,Ali Cobrin,Natasha Leggero,Jerrod Carmichael,Elise Vargas,Zoey Vargas,Brian Huskey,Kira Sternbach,Randall Park,Jake Johnson,Steven Michael Eich,Fahim Anwar,Ori Kalmus,Andy Samberg,Akiva Schaffer,Jorma Taccone,Adam DeVine,Blake Anderson,Anders Holm,Kyle Newacheck,Jesse Heiman,Maria Olsen,Stephen Todt,Michael Angeloe,Gary Sievers,Casey Ford Alexander",6,11
"109","tt2005276",1,42.3333333333333,2,"MUMIA",0,"Documentary",0.006053,2013-02-01,0,120,"English",0,0,"Stephen Vittoria","","black panthers,black panther,political activist,death row inmate,black panther party","N/A",41,8,"404",5.9,4.4,269,17,8,9,89,47,"Mumia Abu-Jamal,Rubin 'Hurricane' Carter,Giancarlo Esposito,Ruby Dee,Peter Coyote,Cornel West,Alice Walker",0,0
"110","tt2013293",5,52.475,18.6,"THE WIND RISES",30000000,"Animation,Drama,History",0.848529,2013-07-20,117932401,126,"Français,Deutsch,Italiano,日本語",7.6,333,"Hayao Miyazaki","","japan,flying,world war ii,earthquake,airplane,biography,love,airplane manufacturer,wwii","Nominated for 1 Oscar. Another 26 wins & 47 nominations.",83,7.8,"42,480",7.9,4.1,22024,162,144,18,84,89,"Hideaki Anno,Jun Kunimura,Mirai Shida,Miori Takimoto,Hidetoshi Nishijima",26,48
"111","tt2015381",10,52.8333333333333,29.5555555555556,"GUARDIANS OF THE GALAXY",170000000,"Action,Science Fiction,Adventure",10.089952,2014-07-30,773312399,121,"English",8,4784,"James Gunn","","marvel comic,spaceship,space,scene during end credits,outer space,adventurer,aftercreditsstinger,orphan boy,marvel cinematic universe","Nominated for 2 Oscars. Another 48 wins & 92 nominations.",76,8.1,"669,684",7.7,4.4,246292,287,262,25,92,91,"Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Lee Pace,Karen Gillan,Michael Rooker,Benicio del Toro,Djimon Hounsou,John C. Reilly,Glenn Close,Josh Brolin,Peter Serafinowicz,Sean Gunn,Alexis Denisof,Ophelia Lovibond,Laura Haddock,Gregg Henry,Stan Lee,Nathan Fillion,Rob Zombie,James Gunn,Tyler Bates,Seth Green,Mikaela Hoover,Melia Kreiling,Christopher Fairbank,Krystian Godlewski,Wyatt Oleff,Janis Ahern,Solomon Mousley,Lindsay Morton,Robert Firth,Tom Proctor,Nick Holmes,Max Wrottesley,Nicole Alexandra Shipley,Sharif Atkins,Brendan Fehr,Tomas Arana,Emmett Scanlan,Dominic Grant,Spencer Wilding,Alison Lintott,Alexis Rodney,Keeley Forsyth,Frank Gilhooley,Enzo Cilenti,Richard Katz,Enoch Frost,Ronan Summers,Laura Ortiz,Marama Corlett,Rosie Jones,Abidemi Sobande,Alex Rose,Ekaterina Zalitko,Emily Redding,Fred,Stephen Blackehart,Jennifer Moylan-Taylor,Bruce Mackinnon,Ralph Ineson,Naomi Ryan,John Brotherton,Graham Shiels,Douglas Robson,Rachel Cullen,Isabella Poynton,Imogen Poynton,David Yarovesky,Miriam Lucia,Lloyd Kaufman,Raed Abbas,Freddie Andrews,Jozef Aoki,Helen Banks",48,94
"112","tt2017038",1,47.25,1,"ALL IS LOST",9000000,"Action,Adventure,Drama",0.72533,2013-10-18,6108720,106,"English",6.4,403,"J.C. Chandor","","yacht,sailor,storm at sea,unconsciousness,life raft,container,emergency,distress,very little dialogue","Nominated for 1 Oscar. Another 3 wins & 45 nominations.",87,6.9,"58,802",8,3.4,39942,218,204,14,63,94,"Robert Redford",3,46
"113","tt2024544",12,53.9659090909091,33.5454545454545,"12 YEARS A SLAVE",20000000,"Drama,History",2.818883,2013-10-18,187000000,134,"English",7.8,1863,"Steve McQueen","","whip,slavery,plantation,night shift,kidnapping,violin player,physical abuse,cotton,slave owner,19th century,sold into slavery,abolitionist","Won 3 Oscars. Another 233 wins & 312 nominations.",97,8.1,"433,492",9,4.3,137171,303,290,13,90,96,"Chiwetel Ejiofor,Michael Fassbender,Benedict Cumberbatch,Paul Dano,Paul Giamatti,Scoot McNairy,Lupita Nyong'o,Adepero Oduye,Sarah Paulson,Brad Pitt,Michael Kenneth Williams,Alfre Woodard,Chris Chalk,Taran Killam,Bill Camp,Kelsey Scott,Bryan Batt,Quvenzhané Wallis,Garret Dillahunt,Dwight Henry,Dickie Gravois,Ashley Dyke,Cameron Zeigler,Tony Bentley,Christopher Berry,Mister Mackey Jr.,Craig Tate,Storm Reid,Tom Proctor,Marc Macaulay,Vivian Fleming-Alvarez,Douglas M. Griffin,John McConnell,Marcus Lyle Brown,Richard Holden,Rob Steinberg,Anwan Glover,James C. Victor,Liza J. Bennett,Nicole Collins,J.D. Evermore,Andy Dylan,Deneen Tyler,Mustafa Harris,Gregory Bright,Austin Purnell,Thomas Francis Murphy,Andre Shanks,Kelvin Harrison,Scott M. Jefferson,Isaiah Jackson,Topsy Chapman,Devin Maurice Evans,Jay Huguley,Devyn A. Tyler,Willo Jean-Baptiste,Ruth Negga,Jason Ament,Jon Arthur,Sean Paul Braud,Blake Burt,Carroll Burt,Joseph Randy Causin,Edward J. Clare,JJ Coker,Haylie Creppel,Justin Edward Davis,Emily D. Haley,Jim Johnson,Mark Joyce,John C. Klein,Cynthia LeBlanc,Elton LeBlanc,Gerard 'Jerry' Lewis,Kevonte Mcdonald,Ritchie Montgomery,Myesha-Tiara,Jason Owen,Shawn Parsons,Haley Powell,Wayne Pére,Terrell Ransom Jr.,Erin Rementer,Andre Robinson,Corrina Roshea,Katherine Jeanie Russell,Jarett Shorts,Chaz Smith,Tyler Soerries,Tre Tureaud,Justin Christopher Vaughn,Bob Walker,Caroline Grace Williamson,Timothy Wyant",236,312
"114","tt2042568",6,60.6875,11.75,"INSIDE LLEWYN DAVIS",11000000,"Drama,Music",0.881757,2013-12-06,32935319,105,"English",7.1,462,"Joel Coen,Ethan Coen","Ethan Coen,Joel Coen","folk music,performance,aspiring singer,new york city,recording,merchant marine,1960s","Nominated for 2 Oscars. Another 44 wins & 153 nominations.",92,7.4,"94,696",8.6,3.7,43508,246,230,16,74,93,"Oscar Isaac,Carey Mulligan,Justin Timberlake,Jerry Grayson,Robin Bartlett,Max Casella,Adam Driver,Ethan Phillips,Jeanine Serralles,Garrett Hedlund,John Goodman,Stark Sands,Alex Karpovsky,F. Murray Abraham,Benjamin Pike",44,155
"115","tt2053463",5,53.75,9,"SIDE EFFECTS",30000000,"Thriller,Crime,Drama",0.63587,2013-02-07,63372757,106,"English,Français",6.3,933,"Steven Soderbergh","","fraud,murder,drug,prescription medication,coverup,professional reputation","4 nominations.",75,7.1,"147,422",7.3,3.6,69015,200,166,34,70,83,"Rooney Mara,Jude Law,Channing Tatum,Catherine Zeta-Jones,Vinessa Shaw,David Costabile,Polly Draper,Andrea Bogart,Mamie Gummer,Ann Dowd,Peter Friedman,Carmen Pelaez,Marin Ireland,James Martinez,Vladimi Versailles,Michelle Vergara Moore,Victor Cruz,Mitchell Michaeliszyn,Michael Nathanson,Timothy Klein,Sheila Tapia",0,4
"116","tt2064713",3,57.5833333333333,13.6666666666667,"BAND CALLED DEATH",0,"Documentary,Music",0.200329,2013-06-27,125,96,"English",7.3,24,"Mark Christopher Covino,Jeff Howlett","","punk,punk rock,rock band,rockumentary,punk band","2 wins & 2 nominations.",77,7.5,"2,767",7.7,4,5200,48,45,3,85,94,"Bobby Hackney,Dannis Hackney,David Hackney,Henry Rollins,Elijah Wood,Kid Rock,Alice Cooper,Mick Collins,Mickey Leigh,Bobbie Duncan,Ahmir-Khalib Thompson,Vernon Reid",2,2
