imdb_id,country
tt0120669,USA
tt0120693,USA
tt0120737,"New Zealand, USA"
tt0120794,USA
tt0126029,USA
tt0129167,USA
tt0133093,USA
tt0137523,"USA, Germany"
tt0143348,Japan
tt0147612,USA
tt0152468,USA
tt0156887,Japan
tt0158983,USA
tt0162346,"USA, UK, Germany"
tt0164912,"Germany, USA"
tt0166924,"France, USA"
tt0177789,USA
tt0179116,USA
tt0181875,USA
tt0185125,"Spain, France"
tt0190332,"Taiwan, Hong Kong, USA, China"
tt0190641,Japan
tt0200642,Philippines
tt0203009,"Australia, USA"
tt0206634,"USA, UK, Japan"
tt0209144,USA
tt0211915,"France, Germany"
tt0218839,USA
tt0230010,USA
tt0241303,"UK, USA"
tt0241527,"UK, USA"
tt0243655,USA
tt0245429,Japan
tt0246578,USA
tt0248845,USA
tt0250494,USA
tt0255549,USA
tt0259484,USA
tt0265343,"India, USA, Italy, Germany, France, UK"
tt0265666,USA
tt0266308,Japan
tt0272338,USA
tt0275277,"Japan, USA"
tt0281190,"USA, Jamaica"
tt0289408,USA
tt0292963,USA
tt0299658,"USA, Germany, Canada"
tt0302886,USA
tt0303353,USA
tt0303816,USA
tt0307987,"USA, Germany"
tt0312004,"UK, USA"
tt0319343,"USA, Germany"
tt0327597,USA
tt0332280,USA
tt0332379,"USA, Germany"
tt0337692,"France, USA, UK, Brazil, Canada, Argentina"
tt0338348,USA
tt0345950,USA
tt0347149,Japan
tt0347618,Japan
tt0351283,USA
tt0352014,Hong Kong
tt0353969,South Korea
tt0359281,USA
tt0359950,"USA, UK, Canada, Australia"
tt0365748,"UK, France"
tt0366548,"USA, Australia"
tt0366551,"USA, Canada, Germany"
tt0367027,USA
tt0369610,USA
tt0372588,"USA, Germany"
tt0377092,"USA, Canada"
tt0379725,"USA, Canada"
tt0379786,USA
tt0388473,Japan
tt0388795,"USA, Canada"
tt0401792,USA
tt0405296,USA
tt0405422,USA
tt0412886,USA
tt0420293,USA
tt0424359,USA
tt0428803,France
tt0432283,USA
tt0434409,"USA, UK, Germany"
tt0436039,USA
tt0437800,USA
tt0439815,"Canada, USA"
tt0441773,USA
tt0443272,"USA, India"
tt0453562,USA
tt0454876,"USA, Taiwan, UK, Canada, France, India"
tt0455944,USA
tt0458481,USA
tt0462322,USA
tt0462757,USA
tt0467406,USA
tt0468492,South Korea
tt0469021,"UK, France"
tt0470752,UK
tt0472062,"USA, Germany"
tt0475290,"UK, USA, Japan"
tt0478970,USA
tt0481499,USA
tt0491587,USA
tt0497465,"Spain, USA"
tt0760167,USA
tt0770828,"USA, Canada, UK"
tt0787474,USA
tt0790636,USA
tt0790724,USA
tt0795421,"USA, UK, Germany"
tt0810819,"UK, USA, Germany, Denmark, Belgium"
tt0816442,"USA, Germany"
tt0816692,"USA, UK, Canada, Iceland"
tt0831387,"USA, Japan"
tt0851578,Japan
tt0862856,USA
tt0864835,USA
tt0882789,UK
tt0889671,USA
tt0901487,South Korea
tt0903624,"USA, New Zealand"
tt0903657,USA
tt0923811,Japan
tt0942384,USA
tt0952640,USA
tt0969345,USA
tt0975645,"USA, UK"
tt0978762,Australia
tt0991167,USA
tt0993846,USA
tt1020072,"UK, USA"
tt1024648,USA
tt1045658,USA
tt1047011,"UK, Germany"
tt1051904,"USA, Australia"
