imdb_id,name,imdb_id,tmdb_id,budget,genres,tmdb_popularity,release_date,revenue,runtime,languages,tmdb_rating,tmdb_votes,directors,writers,keywords,awards,metascore,imdb_rating,imdb_votes,tomato_critic_rating,tomato_user_rating,tomato_user_votes,tomato_critic_votes,tomato_fresh_reviews,tomato_rotten_reviews,tomato_user_meter,tomato_critic_meter,actors
tt0040522,THE BICYCLE THIEF,tt0040522,5156,0,Drama,0.777399,1948-11-24,361712,93,Italiano,7.6,134,Vittorio De Sica,,"rome,italian,riding a bicycle,society,stolen bicycle,madame,realism",Nominated for 1 Oscar. Another 18 wins.,N/A,8.3,"93,382",9.1,4.3,33418,56,55,1,94.0,98.0,"Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Carlo Jachino,Giulio Chiari,Gino Saltamerenda,Vittorio Antonucci,Elena Altieri,Michele Sakara,Emma Druetti,Fausto Guerzoni"
tt0040613,Mr. Blandings Builds His Dreamhouse,tt0040613,32294,0,"Comedy,Romance",0.162683,1948-06-04,0,94,English,6.0,11,H. C. Potter,,home ownership,1 nomination.,N/A,7.4,"7,851",7.1,3.7,7625,15,12,3,76.0,80.0,"Cary Grant,Myrna Loy,Melvyn Douglas,Reginald Denny,Sharyn Moffett,Connie Marshall,Louise Beavers,Ian Wolfe,Harry Shannon,Tito Vuolo,Nestor Paiva,Jason Robards Sr.,Lurene Tuttle,Lex Barker,Emory Parnell"
tt0040634,ON OUR LAND,tt0040634,191085,0,War,0.000154,1948-06-10,0,110,Slovenščina,0.0,0,France Štiglic,,"world war ii,german occupation,partisan,italian occupation,slovenia",1 nomination.,N/A,7,115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Lojze Potokar,France Presetnik,Mileva Zakrajšek,Metka Bučar,Avgusta Danilova,Štefka Drolc,Jože Gale,Oskar Kjuder,Jože Zupan"
tt0041386,THE FOUNTAINHEAD,tt0041386,24650,0,Drama,0.069225,1949-07-02,0,114,English,6.6,10,King Vidor,,"architect,ayn rand",N/A,N/A,7.1,"7,166",6.5,3.7,4090,12,10,2,74.0,83.0,"Gary Cooper,Patricia Neal,Raymond Massey,Kent Smith,Robert Douglas,Henry Hull,Ray Collins,Moroni Olsen,Jerome Cowan"
tt0042546,HARVEY,tt0042546,11787,0,"Comedy,Drama",0.686759,1950-10-13,0,104,English,7.5,50,Henry Koster,,"brother sister relationship,sanatorium,rabbi,imaginary friend,mental institution,police officer,screwball comedy,aunt nephew relationship,hypodermic needle,commitment,1950s",Won 1 Oscar. Another 1 win & 4 nominations.,N/A,8.1,"44,140",7.5,4.0,38250,25,21,4,93.0,84.0,"James Stewart,Josephine Hull,Peggy Dow,Charles Drake,Cecil Kellaway,Victoria Horne,Jesse White,William H. Lynn,Wallace Ford,Nana Bryant,Grayce Mills,Clem Bevans,Harvey,Fess Parker,Polly Bailey,Don Brodie,Aileen Carlyle,Sally Corner,Pat Flaherty,Eula Guy,Grayce Hampton,Harry Hines,Norman Leavitt,Edwin Max,Anne O'Neal,Maudie Prickett,Almira Sessions,Ruthelma Stevens,Leo Sulky,Minerva Urecal,Dick Wessel,Sam Wolfe"
tt0045464,5000 FINGERS OF DR T,tt0045464,33743,0,"Family,Fantasy,Music",0.000172,1953-07-01,0,89,English,3.8,2,Roy Rowland,,dr. seuss,N/A,N/A,7,"2,873",6.8,3.6,2974,14,11,3,76.0,79.0,"Peter Lind Hayes,Mary Healy,Hans Conried,Tommy Rettig,Tony Butala,Noel Cravat,Robert Heasley,Jack Heasley,Alan Aric,Henry Kulky"
tt0046250,ROMAN HOLIDAY,tt0046250,804,1500000,"Comedy,Romance",0.474594,1953-09-02,12000000,119,"English,Italiano",7.6,202,William Wyler,,"rome,secret identity,boat,dance,intelligence,forbidden love,embassy,duty,sightseeing,photography",Won 3 Oscars. Another 7 wins & 15 nominations.,76,8.1,"98,775",8.4,4.1,62444,52,51,1,94.0,98.0,"Gregory Peck,Audrey Hepburn,Eddie Albert,Hartley Power,Harcourt Williams,Margaret Rawlings,Tullio Carminati,Paolo Carlini,Claudio Ermelli,Paola Borboni,Alfredo Rizzo,Laura Solari,Gorella Gori,Armando Annuale,Maurizio Arena,Gildo Bocci,Andrea Esterhazy,George Higgins,Richard McNamara,Luigi Moneta,Piero Pastore,Mimmo Poli,Giuliano Raffaelli,Carlo Rizzo,Gianna Segale,Dianora Veiga,Marco Tulli,Tania Weber,Catherine Wyler"
tt0046876,CREATURE FROM THE BLACK LAGOON,tt0046876,10973,0,"Adventure,Horror,Science Fiction",0.130389,1954-03-05,1,79,English,6.7,45,Jack Arnold,,"monster,boat,paleontology,expedition,chase,ship,amazon,water monster,creature,scientist,sea monster,classic horror,lagoon,fossil,3d,spear gun",1 win.,N/A,7,"17,071",6.9,3.3,23307,32,27,5,73.0,84.0,"Richard Carlson,Julie Adams,Richard Denning,Antonio Moreno,Nestor Paiva,Whit Bissell,Bernie Gozier,Henry A. Escalante,Sydney Mason,Perry Lopez,Rodd Redwing,Ricou Browning,Ben Chapman"
tt0047573,THEM,tt0047573,11071,23000000,"Horror,Science Fiction",0.148412,1954-06-16,0,94,English,6.6,31,Gordon Douglas,,"monster,new mexico,radiation,atomic bomb,mutation,ant,army,giant monster,desert,giant insect,giant ant,animal horror",Nominated for 1 Oscar. Another 1 win & 1 nomination.,N/A,7.3,"14,699",7.7,3.6,8562,27,27,0,76.0,100.0,"James Arness,Edmund Gwenn,Joan Weldon,James Whitmore,Onslow Stevens,Sean McClory,Chris Drake,Sandy Descher,Mary Alan Hokanson,Don Shelton,Fess Parker,Olin Howland,Richard Deacon,Ann Doran,Leonard Nimoy,William Schallert,Dub Taylor"
tt0047577,THIS ISLAND EARTH (THRILLVILLE),tt0047577,831,800000,"Mystery,Adventure,Science Fiction,Horror,Thriller",0.131786,1955-06-01,0,87,English,5.2,13,Joseph M. Newman,,"extraterrestrial technology,mutant,georgia,flying saucer,space travel,nobel prize laureate,resettlement,spaceship,alien,outer space,scientist,campy,interplanetary war",1 win & 1 nomination.,N/A,5.8,"6,680",5.3,3.0,4409,14,10,4,45.0,71.0,"Jeff Morrow,Faith Domergue,Rex Reason,Lance Fuller,Russell Johnson,Douglas Spencer,Robert Nichols,Karl Ludwig Lindt,Richard Deacon,Coleman Francis,Robert Williams,Regis Parton"
