"","imdb_id","num_of_shows","attendees_per_show","avg_nth_day","name","budget","genres","tmdb_popularity","release_date","revenue","runtime","languages","tmdb_rating","tmdb_votes","directors","writers","keywords","awards","metascore","imdb_rating","imdb_votes","tomato_critic_rating","tomato_user_rating","tomato_user_votes","tomato_critic_votes","tomato_fresh_reviews","tomato_rotten_reviews","tomato_user_meter","tomato_critic_meter","actors","award_wins","award_nominations"
"12","tt0481499",4,11.5,2,"THE CROODS",135000000,"Adventure,Animation,Comedy,Family,Fantasy",1.534596,2013-03-20,585178928,98,"English",6.8,1606,"Kirk De Micco,Chris Sanders","Kirk De Micco,John Cleese","stone age,daughter,father,prehistoric,ancient world,father daughter relationship,family,cavemen,aftercreditsstinger,duringcreditsstinger","Nominated for 1 Oscar. Another 5 wins & 41 nominations.",55,7.3,"148,364",6.5,3.9,192889,135,95,40,78,71,"Nicolas Cage,Emma Stone,Ryan Reynolds,Catherine Keener,Cloris Leachman,Clark Duke,Chris Sanders,Randy Thom",5,42
"13","tt0770828",15,24.8731684981685,16.5384615384615,"MAN OF STEEL",225000000,"Action,Adventure,Fantasy,Science Fiction",3.30783,2013-06-12,662845518,143,"English",6.5,4388,"Zack Snyder","","saving the world,dc comics,superman,superhero,based on comic,superhuman,based on comic book,alien invasion,reboot","7 wins & 42 nominations.",55,7.2,"539,282",6.2,3.9,442143,300,166,134,75,55,"Henry Cavill,Amy Adams,Michael Shannon,Diane Lane,Russell Crowe,Antje Traue,Kevin Costner,Christopher Meloni,Laurence Fishburne,Jadin Gould,Tahmoh Penikett,Ayelet Zurer,Richard Schiff,Dylan Sprayberry,Michael Kelly,Carla Gugino,Richard Cetrone,Mackenzie Gray,Julian Richings,Mary Black,Samantha Jo,Rebecca Buller,Christina Wren,David Lewis,Doug Abrahams,Brad Kelly,Alessandro Juliani,Jack Foley,Robert Gerdisch,Harry Lennix,Jacqueline Scislowski,Raj Lal",7,42
"14","tt0787474",8,18.46875,10.375,"BOXTROLLS",60000000,"Fantasy,Adventure,Animation,Family,Comedy",1.346341,2014-09-10,108255770,97,"English",6.6,436,"Graham Annable,Anthony Stacchi","","based on novel,fantasy,stop motion animation,animation","Nominated for 1 Oscar. Another 8 wins & 58 nominations.",61,6.8,"40,210",7,3.5,46787,152,114,38,63,75,"Isaac Hempstead Wright,Ben Kingsley,Elle Fanning,Simon Pegg,Toni Collette,Jared Harris,Nick Frost,Tracy Morgan,Richard Ayoade,Laraine Newman,Dee Bradley Baker,Steve Blum,Nika Futterman,Pat Fraley,Fred Tatasciore,Max Mitchell,Maurice LaMarche,James Urbaniak,Brian George,Lori Tritel,Reckless Jack,Tom Kenny,Sam Lavagnino,Julian Stone",8,59
"15","tt0790636",14,22.8520833333333,36.5,"DALLAS BUYERS CLUB",5000000,"Drama,History",1.618622,2013-09-07,55198285,117,"English,日本語",7.8,1537,"Jean-Marc Vallée","","women,aids,biography,based on true story,hiv,drug,1980s","Won 3 Oscars. Another 79 wins & 78 nominations.",84,8,"321,295",7.8,4.2,90897,235,220,15,91,94,"Matthew McConaughey,Jennifer Garner,Jared Leto,Denis O'Hare,Steve Zahn,Michael O'Neill,Dallas Roberts,Griffin Dunne,Kevin Rankin,Donna DuPlantier,Deneen Tyler,J.D. Evermore,Ian Casselberry,Jane McNeill,Juliet Reeves,Douglas M. Griffin",82,78
"16","tt0790724",8,14.8333333333333,2.5,"JACK REACHER",60000000,"Crime,Drama,Thriller",1.397518,2012-12-20,218340595,130,"English",6.2,2022,"Christopher McQuarrie","","based on novel,sniper,investigation,police,character name in title,written by director,quarry","1 win & 4 nominations.",50,7,"223,149",6.2,3.6,114506,170,105,65,67,62,"Tom Cruise,Rosamund Pike,Richard Jenkins,David Oyelowo,Werner Herzog,Jai Courtney,Vladimir Sizov,Joseph Sikora,Michael Raymond-James,Alexia Fast,Josh Helman,Robert Duvall,James Martin Kelly,Dylan Kussman,Denver Milord,Susan Angelo,Julia Yorks,Nicole Forester,Delilah Picart,Joe Coyle,Alicia Murton,Peter Gannon,David Whalen,Tristan Elma,Sophie Guest,Michael Minor,Scott A. Martin,CJ Ramirez,Teri Clark,Jarid Faubel,Sara Lindsey,Jace Jeanes,Andrei Runtso,Efka Kvaraciejus,Lee Child,Tommy Lafitte,Kristen Dalton,Jordan Trovillion,Annie Kitral,Lissy Gulick,Catherine Albers,Larissa Emanuele,Jason McCune,Shane Callahan,Joshua Elijah Reese,Nathan Hollabaugh,Christopher Stadulis",1,4
"17","tt0810819",10,22.9513888888889,10.6666666666667,"THE DANISH GIRL",15000000,"Drama",1.871006,2015-11-27,64191523,120,"English,Français,Deutsch",7.1,610,"Tom Hooper","","paris,denmark,copenhagen,artist,art,transsexual,surgery,lgbt","Won 1 Oscar. Another 26 wins & 69 nominations.",66,7,"78,908",6.6,3.7,25678,202,140,62,73,69,"Alicia Vikander,Eddie Redmayne,Tusse Silberg,Adrian Schiller,Amber Heard,Emerald Fennell,Henry Pettigrew,Claus Bue,Peter Krag,Angela Curran,Pixie,Richard Dixon,Ben Whishaw,Pip Torrens,Paul Bigley,Nancy Crane,Nicola Sloane,Sonya Cullingford,Matthias Schoenaerts,Clare Fettarappa,Jake Graf,Victoria Emslie,Raphael Acloque,Alexander Devrient,Nicholas Woodeson,Philip Arditti,Miltos Yerolemou,Sebastian Koch,Cosima Shaw,Sophie Kennedy Clark,Rebecca Root,Issy van Randwyck,Aisha Fabienne Ross,Holly Weston,Eleanor Hafner,Maya Lindh,Rebecca Clay,Erich Redman",27,69
"18","tt0816442",6,24.375,9,"THE BOOK THIEF",0,"Drama",1.543041,2013-11-08,76586316,131,"English,Deutsch",7.3,698,"Brian Percival","Michael Petroni","world war ii,book,nazi germany,jewish","Nominated for 1 Oscar. Another 7 wins & 14 nominations.",53,7.6,"97,881",5.7,3.8,49768,135,62,73,73,46,"Roger Allam,Sophie Nélisse,Heike Makatsch,Julian Lehmann,Gotthard Lange,Rainer Reiners,Kirsten Block,Geoffrey Rush,Emily Watson,Nico Liersch,Ludger Bökelmann,Paul Schalper,Nozomi Linus Kaisar,Oliver Stokowski,Robert Beyer,Hildegard Schroedter,Levin Liam,Ben Schnetzer,Sandra Nedeleff,Rafael Gareisen,Carl Heinz Choynski,Rainer Bock,Barbara Auer,Mike Maas,Sebastian Hülk,Matthias Matschke,Beata Lehmann,Laina Schwarz,Marie Burchard,Georg Tryphon,Joachim Paul Assböck,Martin Ontrop,Jan Andres,Stephanie Stremler,Carina Wiese",7,15
"19","tt0816692",4,28.875,19,"INTERSTELLAR",165000000,"Adventure,Drama,Science Fiction",13.144995,2014-11-05,621752480,169,"English",8.1,5357,"Christopher Nolan","Christopher Nolan,Jonathan Nolan","saving the world,artificial intelligence,father-son relationship,single parent,nasa,expedition,future,wormhole,space travel,famine,black hole,dystopia,race against time,quantum mechanics,alternate dimension,spaceship,rescue,family relationships,drone,moral courage,farmhouse,robot,astronaut,written by director,scientist,father daughter relationship,widower,single father,near future,farmer,space station,astrophysics,zero gravity,dystopic future,flashback,courage,deathbed,alien world,spacetime,time paradox,earth viewed from space,relativity,water planet","Won 1 Oscar. Another 39 wins & 132 nominations.",74,8.6,"910,366",7,4.1,168343,307,218,89,85,71,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Michael Caine,Casey Affleck,Mackenzie Foy,Timothée Chalamet,Bill Irwin,Matt Damon,Ellen Burstyn,John Lithgow,Wes Bentley,Topher Grace,David Oyelowo,David Gyasi,William Devane,Josh Stewart,Collette Wolfe,Leah Cairns,Russ Fega,Lena Georgas,Jeff Hephner,Elyes Gabel,Brooke Smith,Liam Dickinson,Francis X. McCarthy,Andrew Borba,Flora Nolan,William Patrick Brown,Cici Leah Campbell,Kristian Van der Heyden,Mark Casimir Dyniewicz,Joseph Oliveira",40,132
"20","tt0831387",8,29.921875,13.375,"GODZILLA",160000000,"Action,Science Fiction,Thriller",1.494438,2014-05-14,529076069,123,",English",6.2,1974,"Gareth Edwards","","monster,godzilla,remake,giant monster,gojira,kaiju,global threat,animal horror","5 wins & 28 nominations.",62,6.5,"300,064",6.6,3.6,174542,285,210,75,66,74,"Aaron Taylor-Johnson,Ken Watanabe,Elizabeth Olsen,Bryan Cranston,Juliette Binoche,Sally Hawkins,David Strathairn,CJ Adams,Carson Bolde,Richard T. Jones,Victor Rasuk,Patrick Sabongui,Jared Keeso,Luc Roderique,James Pizzinato,Al Sapienza,Brian Markinson,Yuki Morita,Chris Shields,Catherine Lough Haggquist,Eric Keenleyside,Ken Yamamura,Hiro Kanagawa,James D. Dever,Ty Olsson,Kurt Max Runte,Jill Teed,Anthony Konechny,Michael Rowe",5,28
"21","tt0864835",4,19.15625,1.75,"MR. PEABODY AND SHERMAN",145000000,"Animation,Adventure,Family",0.695377,2014-02-07,272912430,92,"English",6.8,509,"Rob Minkoff","","duringcreditsstinger","2 wins & 16 nominations.",59,6.9,"47,319",6.6,3.8,72817,122,97,25,73,80,"Ty Burrell,Max Charles,Ariel Winter,Allison Janney,Ellie Kemper,Stephen Colbert,Stephen Tobolowsky,Karan Brar,Joshua Rush,Adam Alexi-Malle,Stanley Tucci,Lauri Fraser,Leslie Mann,Lake Bell,Guillaume Aretos,Patrice A. Musick,Dennis Haysbert,Zach Callison,Steve Valentine,Leila Birch,Patrick Warburton,Tom McGrath,Mel Brooks,Cullen McCarthy,Jasper Johannes Andrews,Walt Dohrn,Kim Bubbs,Nicholas Guest,Thomas Lennon,Rob Minkoff,Al Rodrigo,Jess Harnell,Ava Acres,Newell Alexander,Rosemary Alexander,Steve Alterman,Stephen Apostolina,Eva Bella,Blake Bertrand,Mitch Carter,David Cowgill,Jeff Fischer,Donald Fullilove,Jackie Gonneau,Rif Hutton,Molly Jackson,Luisa Leschin,Hope Levy,Scott Menville,Raymond Ochoa,Ben Garant",2,16
