"date" "temp" "hum" "rain"
"1" "2013-10-06" 49.6842105263158 22.6315789473684 0
"2" "2014-11-02" 40.4421052631579 42.3157894736842 0
"3" "2013-10-06" 49.6842105263158 22.6315789473684 0
"4" "2014-11-02" 40.4421052631579 42.3157894736842 0
"5" "2013-09-15" 49.9842105263158 59.0526315789474 0
"6" "2015-12-13" 54.4368421052632 80.6842105263158 1
"7" "2016-03-13" 70.2473684210526 113.315789473684 1
"8" "2015-10-11" 46.5894736842105 47.6842105263158 0
"9" "2013-05-25" 40.5789473684211 52.4736842105263 0
"10" "2013-06-29" 52.8842105263158 36.7894736842105 0
"11" "2015-09-13" 49.0473684210526 53.2105263157895 0
"12" "2015-08-23" 50.1894736842105 46.7894736842105 0
"13" "2016-01-10" 42.4263157894737 56.4210526315789 0
"14" "2013-06-15" 53.6473684210526 74.7368421052632 0
"15" "2014-08-17" 48.3052631578947 52.0526315789474 0
"16" "2013-03-23" 41.4736842105263 33.6315789473684 0
"17" "2014-12-14" 38.0157894736842 47.2105263157895 1
"18" "2014-09-27" 49.0368421052632 51.3684210526316 0
"19" "2014-09-28" 48.9578947368421 51.5789473684211 0
"20" "2013-03-09" 40.3315789473684 46.3684210526316 0
"21" "2013-11-24" 37.2684210526316 43.6842105263158 0
"22" "2014-10-19" 48.8947368421053 55.5263157894737 0
"23" "2014-08-24" 47.1210526315789 42.3684210526316 0
"24" "2013-05-18" 43.8736842105263 48.3684210526316 0
"25" "2014-04-12" 50.3263157894737 54.1578947368421 0
"26" "2015-11-21" 44.1894736842105 33.5263157894737 0
"27" "2013-11-10" 42.4526315789474 58.5263157894737 0
"28" "2013-07-27" 52.678947368421 76.2631578947368 0
"29" "2013-07-28" 50.0315789473684 65.3684210526316 0
"30" "2014-12-27" 34.2 38.9473684210526 0
"31" "2014-12-28" 37.0842105263158 55.8421052631579 0
"32" "2015-01-03" 32.9473684210526 43.8947368421053 0
"33" "2015-01-04" 33.8315789473684 45.7894736842105 0
"34" "2014-11-22" 51.3631578947368 69.6842105263158 1
"35" "2014-11-23" 38.9631578947368 42 0
"36" "2014-11-09" 45.7631578947368 57 0
"37" "2015-11-14" 40.1 45.2105263157895 0
"38" "2016-02-21" 39.5210526315789 43.8421052631579 0
"39" "2013-12-21" 35.7789473684211 52.6842105263158 0
"40" "2013-09-29" 46.8157894736842 48.1052631578947 0
"41" "2013-10-27" 44.4631578947368 67.9473684210526 0
"42" "2014-05-31" 48.4368421052632 51.9473684210526 0
"43" "2014-06-07" 43.7315789473684 44.1052631578947 0
"44" "2013-11-17" 40.8 59.4736842105263 0
"45" "2013-09-01" 47.2 55.7894736842105 0
"46" "2013-09-22" 45.4052631578947 51.1052631578947 0
"47" "2013-09-21" 63.9473684210526 91.3684210526316 1
"48" "2015-12-27" 30.6842105263158 45.7368421052632 0
"49" "2013-10-13" 43.0684210526316 46.2105263157895 0
"50" "2014-03-30" 39.7526315789474 39.7368421052632 0
"51" "2013-12-29" 41.4736842105263 19.4210526315789 0
"52" "2014-10-04" 54.1736842105263 22.4210526315789 0
"53" "2013-11-03" 40.0842105263158 38.3684210526316 0
"54" "2014-12-07" 40.7105263157895 57.6842105263158 0
"55" "2013-08-18" 51.8894736842105 57.7894736842105 0
"56" "2013-11-23" 38.9631578947368 35.6842105263158 0
"57" "2014-05-24" 42.4526315789474 44.9473684210526 0
"58" "2014-08-09" 39.8736842105263 45.1052631578947 0
"59" "2014-02-23" 38.5368421052632 49.8421052631579 0
"60" "2013-12-08" 29.0947368421053 25.3684210526316 0
"61" "2013-11-09" 40.9 49.2105263157895 0
"62" "2014-09-20" 53.0052631578947 58.7894736842105 0
"63" "2014-09-21" 49.2052631578947 53.8947368421053 0
"64" "2013-10-20" 44.9789473684211 66.6315789473684 0
"65" "2013-10-12" 43.0157894736842 58.1578947368421 0
"66" "2013-12-15" 34.7473684210526 45.2631578947368 0
"67" "2014-12-06" 49.4736842105263 65 0
"68" "2015-11-08" 55.7052631578947 69.6315789473684 1
"69" "2014-11-08" 43.9526315789474 49.5789473684211 0
"70" "2015-01-10" 36.6368421052632 58.0526315789474 0
"71" "2013-10-05" 50.2894736842105 19.3684210526316 0
"72" "2015-10-31" 48.7105263157895 53.1578947368421 0
"73" "2014-03-08" 43.9052631578947 39.8947368421053 0
"74" "2015-07-18" 51.5894736842105 42.7894736842105 0
"75" "2015-07-19" 52.9894736842105 32.9473684210526 0
"76" "2014-08-02" 50.6052631578947 57.3157894736842 0
"77" "2014-01-11" 52.3473684210526 83.9473684210526 0
"78" "2014-12-13" 41.8526315789474 61.7894736842105 0
"79" "2014-11-01" 44.3578947368421 47.6315789473684 0
"80" "2014-06-21" 47.8157894736842 52.7894736842105 0
"81" "2013-06-01" 47.8947368421053 38.6842105263158 0
"82" "2013-12-07" 30.7684210526316 32.9473684210526 0
"83" "2014-07-12" 47.8578947368421 50 0
"84" "2013-10-26" 42.1684210526316 53.2631578947368 0
"85" "2015-05-16" 39.2842105263158 49.5263157894737 0
"86" "2015-05-17" 40.0526315789474 46.1578947368421 0
"87" "2014-09-06" 52.4157894736842 50.2105263157895 0
"88" "2015-02-14" 43.8421052631579 44.2105263157895 0
"89" "2014-11-15" 40.9684210526316 49.2631578947368 0
"90" "2015-11-01" 52.1578947368421 61.9473684210526 0
"91" "2015-05-10" 54.2473684210526 64.4736842105263 0
"92" "2014-07-19" 50.4263157894737 48.3684210526316 0
"93" "2014-08-03" 44.5473684210526 46.5263157894737 0
"94" "2013-11-30" 38.1736842105263 49.8421052631579 0
